,ROAD_NO,SPEED_LIMIT,LONGITUDE,LATITUDE,CRASH_DATE,CRASH_TIME,SEVERITY,TOTAL_BIKE_INVOLVED,TOTAL_TRUCK_INVOLVED,TOTAL_HEAVY_TRUCK_INVOLVED,TOTAL_MOTOR_CYCLE_INVOLVED,TOTAL_OTHER_VEHICLES_INVOLVED,TOTAL_PEDESTRIANS_INVOLVED,CRASH_YEAR
80,1080009,70.0,115.953163,-32.223423,9/1/16,1739.0,Hospital,0,0,0,0,2,0,16.0
81,H006,50.0,118.59926,-20.926493,9/1/16,1610.0,Fatal,0,0,0,0,1,0,16.0
83,2010045,60.0,115.155432,-33.967622,9/1/16,1625.0,Medical,0,0,0,0,2,0,16.0
86,1093001,70.0,115.877155,-31.820997,9/1/16,1400.0,Medical,0,1,0,0,0,1,16.0
87,2050041,70.0,115.099402,-33.659363,10/1/16,45.0,Hospital,0,0,0,0,1,1,16.0
89,H563,60.0,115.819311,-31.899592,10/1/16,630.0,Hospital,0,0,0,0,1,0,16.0
92,H020,70.0,115.908109,-31.962401,10/1/16,1400.0,Medical,0,0,0,0,2,0,16.0
94,1030025,80.0,115.901147,-32.124189,11/1/16,2120.0,Hospital,0,0,0,0,1,0,16.0
95,1030001,60.0,115.777225,-32.084,11/1/16,1500.0,Medical,0,0,0,0,2,0,16.0
96,H014,40.0,115.757502,-32.007359,11/1/16,1405.0,Medical,0,0,0,0,2,0,16.0
97,1040020,60.0,115.955205,-32.023766,11/1/16,925.0,Medical,0,0,0,0,2,0,16.0
98,H015,80.0,115.846352,-31.969132,11/1/16,720.0,Medical,0,0,0,0,3,0,16.0
99,H005,60.0,115.889918,-31.966491,11/1/16,1515.0,Medical,0,0,0,0,3,0,16.0
100,1250129,60.0,115.855027,-31.860608,11/1/16,1420.0,Hospital,0,0,0,0,4,1,16.0
103,1250059,60.0,115.875565,-31.881772,11/1/16,930.0,Medical,0,0,0,0,2,0,16.0
104,1090564,60.0,115.95708,-31.855667,11/1/16,930.0,Medical,0,0,0,0,2,0,16.0
106,H001,50.0,115.984164,-32.051226,11/1/16,1240.0,Medical,0,0,0,0,2,0,16.0
107,M037,40.0,116.546358,-33.385452,11/1/16,45.0,Medical,0,0,1,0,1,0,16.0
108,H035,60.0,115.820682,-31.818974,11/1/16,1555.0,Medical,0,0,0,0,2,0,16.0
109,H026,60.0,115.927671,-31.919989,11/1/16,1311.0,Hospital,0,0,0,1,1,0,16.0
114,H002,60.0,115.789875,-32.142122,12/1/16,1545.0,Medical,0,0,0,0,2,0,16.0
115,H015,80.0,115.847086,-31.963628,12/1/16,1520.0,Medical,0,0,0,0,5,0,16.0
116,H016,80.0,115.837855,-31.9362,12/1/16,1615.0,Medical,0,0,0,0,2,0,16.0
117,1311665,70.0,115.76369,-31.743977,12/1/16,1715.0,Medical,0,0,0,0,2,0,16.0
118,H016,80.0,115.849609,-31.957861,12/1/16,1805.0,Hospital,0,0,0,0,2,1,16.0
119,H057,60.0,115.710471,-33.32533,12/1/16,1645.0,Medical,0,0,0,0,2,0,16.0
120,H812,70.0,115.826401,-32.327335,12/1/16,850.0,Hospital,0,0,0,0,2,0,16.0
121,1240007,60.0,115.823954,-31.958817,12/1/16,1515.0,Medical,0,0,0,0,2,0,16.0
122,H057,60.0,115.715981,-33.324506,12/1/16,1615.0,Hospital,0,0,0,0,3,0,16.0
123,1300277,40.0,115.870166,-31.937615,12/1/16,1845.0,Hospital,1,0,0,0,1,0,16.0
124,1031493,60.0,115.770193,-32.157385,12/1/16,1800.0,Hospital,0,0,0,0,1,0,16.0
126,1130002,60.0,115.931449,-31.9584,12/1/16,1835.0,Hospital,0,0,0,1,1,0,16.0
128,H005,60.0,116.026102,-31.894017,13/1/16,1950.0,Medical,0,0,0,0,2,0,16.0
129,H005,60.0,115.945467,-31.929626,13/1/16,2050.0,Medical,0,0,0,0,2,0,16.0
130,H015,80.0,115.858396,-32.124948,13/1/16,1625.0,Medical,0,0,0,0,3,0,16.0
132,H015,80.0,115.846297,-31.969002,13/1/16,1520.0,Medical,0,0,0,0,2,0,16.0
133,H015,80.0,115.85127,-31.984253,13/1/16,1745.0,Medical,0,0,0,0,4,0,16.0
134,H002,60.0,115.793684,-32.049104,13/1/16,1700.0,Medical,0,0,0,0,3,0,16.0
135,H015,80.0,115.84663,-31.963928,13/1/16,1630.0,Medical,0,0,0,0,3,0,16.0
136,1030011,60.0,115.820699,-32.159903,13/1/16,850.0,Medical,0,0,0,0,2,0,16.0
137,H019,60.0,116.008173,-31.917555,13/1/16,600.0,Medical,0,0,0,0,2,0,16.0
138,H007,50.0,114.644451,-28.431061,13/1/16,1440.0,Medical,0,0,0,0,1,0,16.0
140,1090311,70.0,116.050545,-31.797204,13/1/16,1150.0,Hospital,0,0,0,0,2,0,16.0
142,1030953,60.0,115.85414,-32.128621,13/1/16,1430.0,Medical,0,0,0,0,1,0,16.0
145,H026,60.0,115.921057,-31.923753,13/1/16,1729.0,Medical,0,0,0,0,2,0,16.0
147,H029,60.0,115.693776,-31.643565,14/1/16,1638.0,Medical,0,0,0,0,0,0,16.0
148,1300277,40.0,115.86983,-31.938151,14/1/16,2205.0,Hospital,0,0,0,0,1,1,16.0
149,H018,70.0,116.003788,-31.967664,14/1/16,954.0,Hospital,0,0,0,0,2,0,16.0
150,H001,50.0,115.980816,-32.049816,14/1/16,810.0,Hospital,0,0,0,1,1,0,16.0
151,1250069,30.0,115.771567,-31.893977,14/1/16,1715.0,Medical,0,0,0,0,2,0,16.0
152,1130002,60.0,115.9266,-31.954257,14/1/16,1300.0,Medical,0,0,0,0,2,1,16.0
153,H590,70.0,115.784621,-31.817605,14/1/16,1450.0,Hospital,0,0,0,0,2,0,16.0
154,1141104,70.0,115.917046,-32.0883,14/1/16,720.0,Medical,0,0,0,0,2,0,16.0
157,H005,60.0,115.904209,-31.958427,14/1/16,1720.0,Medical,0,0,0,0,3,0,16.0
158,H005,60.0,115.923322,-31.943264,14/1/16,1510.0,Medical,0,0,0,0,2,0,16.0
159,H602,70.0,115.783858,-31.798073,14/1/16,1710.0,Medical,0,0,0,0,2,0,16.0
160,H002,60.0,115.770112,-32.349255,14/1/16,1415.0,Hospital,0,0,0,1,1,0,16.0
161,1260007,70.0,115.88715,-32.010022,14/1/16,1611.0,Medical,0,0,0,0,2,0,16.0
162,H029,60.0,115.741913,-31.755739,14/1/16,825.0,Medical,0,0,0,0,2,0,16.0
163,H029,60.0,115.741913,-31.755739,14/1/16,810.0,Medical,0,0,0,0,2,0,16.0
164,H006,50.0,128.197447,-16.584364,14/1/16,1845.0,Fatal,0,0,0,0,1,1,16.0
165,H007,50.0,116.866824,-20.792925,14/1/16,1535.0,Fatal,0,0,1,0,1,0,16.0
166,H001,50.0,115.983978,-32.051118,14/1/16,1857.0,Medical,0,0,0,0,2,0,16.0
168,H002,60.0,115.762926,-32.294527,15/1/16,1630.0,Medical,0,0,0,0,3,0,16.0
169,M027,60.0,115.299974,-34.15907,15/1/16,1300.0,Hospital,0,0,0,0,1,0,16.0
170,1300289,40.0,115.849317,-31.936459,15/1/16,1150.0,Medical,0,0,0,0,3,0,16.0
171,H023,70.0,115.864434,-32.126921,15/1/16,1320.0,Medical,0,0,0,0,4,0,16.0
172,1300282,40.0,115.859784,-31.939279,15/1/16,1230.0,Medical,0,0,0,0,2,0,16.0
173,3021012,50.0,117.894678,-35.012026,15/1/16,1330.0,Medical,0,0,0,0,2,0,16.0
174,H015,80.0,115.849218,-32.086715,15/1/16,1720.0,Medical,0,0,0,0,2,0,16.0
175,H625,60.0,115.802136,-31.892088,15/1/16,2130.0,Medical,0,0,0,0,2,0,16.0
176,H035,60.0,115.840807,-31.896785,15/1/16,805.0,Medical,0,1,0,0,1,0,16.0
177,H057,60.0,115.752136,-33.284647,15/1/16,1430.0,Medical,0,0,1,0,1,0,16.0
178,1010001,60.0,115.916098,-32.115467,15/1/16,1500.0,Medical,0,0,0,0,2,0,16.0
179,H013,60.0,115.882948,-31.973905,16/1/16,900.0,Medical,0,0,0,0,2,0,16.0
181,H002,60.0,115.792856,-32.169819,16/1/16,1020.0,Medical,0,0,0,0,2,0,16.0
182,H021,70.0,115.782497,-31.856235,16/1/16,915.0,Medical,0,0,0,0,3,0,16.0
183,H014,40.0,115.768153,-31.989807,16/1/16,1115.0,Medical,0,0,0,0,2,0,16.0
184,2051104,60.0,115.328498,-33.655335,16/1/16,900.0,Medical,1,0,0,0,1,0,16.0
185,H005,60.0,115.922643,-31.943594,16/1/16,1140.0,Hospital,0,0,0,0,2,0,16.0
186,H001,50.0,115.929906,-32.015825,16/1/16,950.0,Medical,0,0,0,2,1,0,16.0
187,1070115,80.0,115.784158,-32.397219,16/1/16,1030.0,Medical,0,0,0,0,2,0,16.0
188,H035,60.0,115.840669,-31.896614,16/1/16,950.0,Medical,0,0,0,0,2,0,16.0
189,H028,60.0,115.765462,-31.873915,16/1/16,730.0,Medical,0,0,0,0,4,0,16.0
190,H023,70.0,115.864434,-32.126921,16/1/16,2015.0,Medical,0,0,0,0,2,0,16.0
191,1030007,60.0,115.77573,-32.100893,16/1/16,1400.0,Hospital,0,0,0,0,2,0,16.0
193,H005,60.0,115.904209,-31.958427,16/1/16,1740.0,Hospital,0,0,0,0,2,0,16.0
194,1070003,60.0,115.715089,-32.304618,16/1/16,1630.0,Hospital,0,0,0,0,3,2,16.0
197,H015,80.0,115.794318,-32.45873,16/1/16,1645.0,Hospital,0,0,0,0,1,0,16.0
199,H001,50.0,116.457347,-32.599628,17/1/16,1224.0,Medical,0,0,0,0,1,0,16.0
200,H035,60.0,115.694741,-31.586521,17/1/16,1141.0,Hospital,0,0,0,0,3,0,16.0
201,1250017,60.0,115.850778,-31.916156,17/1/16,1215.0,Hospital,0,0,0,1,1,0,16.0
202,H002,60.0,115.742204,-32.502796,17/1/16,1230.0,Medical,0,0,0,0,2,0,16.0
203,H014,40.0,115.768153,-31.989807,17/1/16,1550.0,Medical,0,0,0,0,2,0,16.0
204,1050004,60.0,115.812292,-32.245548,17/1/16,1415.0,Medical,0,0,0,0,2,0,16.0
205,H035,60.0,115.830834,-31.871279,17/1/16,830.0,Medical,0,0,0,0,2,0,16.0
207,H759,60.0,116.012737,-32.088354,17/1/16,1400.0,Hospital,0,0,0,2,1,0,16.0
210,H029,60.0,115.665479,-31.58192,17/1/16,300.0,Hospital,0,0,0,0,1,1,16.0
213,1070003,60.0,115.744207,-32.321812,17/1/16,1509.0,Hospital,0,0,0,1,0,1,16.0
214,H537,60.0,115.839592,-31.936416,18/1/16,1235.0,Medical,0,1,0,0,2,0,16.0
215,H001,50.0,115.931596,-32.016573,18/1/16,1645.0,Medical,0,0,0,0,5,0,16.0
216,H026,60.0,115.96556,-31.899306,18/1/16,1735.0,Medical,0,0,0,0,3,0,16.0
219,1040002,60.0,115.917819,-32.088901,18/1/16,1230.0,Medical,0,0,0,0,1,0,16.0
220,1090541,70.0,115.981438,-31.807558,18/1/16,1420.0,Medical,0,0,0,0,2,0,16.0
221,H010,50.0,121.755087,-33.57121,18/1/16,1545.0,Medical,0,0,1,0,1,0,16.0
222,1140585,60.0,115.925498,-31.994119,18/1/16,1640.0,Medical,0,0,0,0,2,0,16.0
223,H001,50.0,117.721541,-34.80121,18/1/16,1729.0,Fatal,0,0,0,0,3,0,16.0
225,2150009,60.0,115.936247,-32.517041,18/1/16,1954.0,Medical,0,0,0,0,1,0,16.0
226,H674,60.0,115.84356,-31.941952,18/1/16,1500.0,Medical,0,0,0,0,2,0,16.0
227,2150009,60.0,115.882019,-32.516852,18/1/16,2020.0,Hospital,0,0,0,1,0,0,16.0
228,1070038,60.0,115.744879,-32.290988,19/1/16,1050.0,Medical,0,0,0,0,2,0,16.0
229,H015,80.0,115.847196,-31.971171,19/1/16,1700.0,Medical,0,0,0,0,4,0,16.0
230,H035,60.0,115.852614,-31.939941,19/1/16,1615.0,Medical,0,0,0,0,1,0,16.0
231,H001,50.0,115.932168,-32.01671,19/1/16,925.0,Medical,0,0,0,0,1,0,16.0
232,1250017,60.0,115.859837,-31.923917,19/1/16,715.0,Medical,0,0,0,0,2,0,16.0
234,1250129,60.0,115.85502,-31.870735,19/1/16,1230.0,Medical,0,0,0,0,2,0,16.0
235,1080005,60.0,115.98084,-32.31921,19/1/16,2020.0,Hospital,0,0,0,0,1,0,16.0
236,H012,60.0,115.841053,-32.04611,19/1/16,1315.0,Medical,0,0,0,0,2,0,16.0
237,1080129,70.0,115.92411,-32.198419,19/1/16,745.0,Medical,0,0,0,0,3,0,16.0
238,H032,60.0,115.799016,-32.064985,19/1/16,1330.0,Hospital,0,0,0,1,1,0,16.0
239,1250069,30.0,115.804184,-31.904208,19/1/16,1410.0,Medical,0,0,0,0,2,0,16.0
240,1050004,60.0,115.812104,-32.243607,19/1/16,2134.0,Hospital,0,0,0,0,1,0,16.0
242,2110207,60.0,115.736563,-33.273251,19/1/16,1230.0,Medical,0,1,0,0,1,0,16.0
243,H001,50.0,115.91833,-32.00104,19/1/16,1556.0,Hospital,0,0,0,1,1,0,16.0
244,1240007,60.0,115.823954,-31.958817,20/1/16,1320.0,Medical,0,0,0,0,2,0,16.0
245,H029,60.0,115.754692,-31.780495,20/1/16,1630.0,Medical,0,0,0,0,3,0,16.0
246,1040001,60.0,115.969054,-32.010492,20/1/16,1430.0,Medical,0,0,0,0,2,0,16.0
247,H005,60.0,115.955072,-31.923081,20/1/16,1515.0,Medical,0,0,0,0,2,0,16.0
248,1040019,60.0,115.988217,-32.080454,20/1/16,1430.0,Medical,0,0,0,0,3,0,16.0
249,1090023,60.0,116.037149,-31.659249,20/1/16,1530.0,Hospital,0,0,0,0,2,0,16.0
250,H029,60.0,115.754739,-31.782118,20/1/16,1625.0,Medical,0,0,0,0,2,0,16.0
252,1240103,40.0,115.852471,-31.955127,20/1/16,1358.0,Medical,0,0,0,1,1,0,16.0
253,H015,80.0,115.846297,-31.969002,20/1/16,850.0,Medical,0,0,0,0,2,0,16.0
255,H029,60.0,115.760517,-31.816838,21/1/16,1215.0,Medical,0,0,0,0,0,0,16.0
256,M010,60.0,116.44226,-31.881856,21/1/16,1633.0,Hospital,0,0,0,0,0,0,16.0
257,H038,70.0,115.903843,-32.218377,21/1/16,2101.0,Medical,0,1,0,0,1,0,16.0
258,H013,60.0,115.762495,-32.041019,21/1/16,1434.0,Hospital,1,0,0,0,1,0,16.0
259,H035,60.0,115.846894,-31.912495,21/1/16,1445.0,Medical,0,0,0,0,2,0,16.0
261,H027,70.0,115.910733,-31.9646,21/1/16,1055.0,Medical,0,0,0,0,2,0,16.0
262,H028,60.0,115.781556,-31.878558,21/1/16,700.0,Hospital,1,0,0,0,1,0,16.0
263,1090549,70.0,115.962473,-31.795593,21/1/16,1700.0,Medical,0,0,0,0,5,0,16.0
264,H016,80.0,115.752035,-31.729005,21/1/16,1735.0,Medical,0,0,0,0,2,0,16.0
265,H027,70.0,115.931946,-31.983211,21/1/16,1630.0,Medical,0,0,0,0,2,0,16.0
267,H005,60.0,116.011185,-31.89144,21/1/16,1830.0,Medical,0,0,0,0,2,0,16.0
268,H016,80.0,115.78242,-31.794544,21/1/16,1330.0,Medical,0,0,0,0,2,0,16.0
269,H015,80.0,115.855036,-31.997194,21/1/16,1730.0,Hospital,0,0,0,1,1,0,16.0
271,H028,60.0,115.83769,-31.888965,21/1/16,1020.0,Medical,0,0,0,0,2,0,16.0
272,H001,50.0,117.330814,-34.081613,21/1/16,1320.0,Medical,0,1,0,0,1,0,16.0
273,H016,80.0,115.782082,-31.799836,21/1/16,810.0,Medical,0,0,0,0,4,0,16.0
275,H017,70.0,115.963025,-32.131155,21/1/16,1545.0,Medical,0,0,0,0,2,0,16.0
276,H013,60.0,115.876051,-31.982296,21/1/16,954.0,Medical,0,0,0,0,1,1,16.0
278,1090571,70.0,115.944357,-31.887586,22/1/16,620.0,Medical,0,0,0,1,1,0,16.0
280,1300277,40.0,115.86703,-31.942596,22/1/16,1130.0,Hospital,0,0,0,1,1,0,16.0
281,H069,70.0,115.813426,-31.784757,22/1/16,1500.0,Medical,0,0,0,1,1,0,16.0
282,1100168,60.0,115.854591,-31.835907,22/1/16,1225.0,Medical,0,0,0,0,2,0,16.0
283,H057,60.0,115.731504,-33.318915,22/1/16,1605.0,Medical,0,0,0,0,2,0,16.0
284,H006,50.0,117.910402,-27.728466,22/1/16,230.0,Fatal,0,0,0,0,1,0,16.0
285,H001,50.0,116.212734,-32.321454,22/1/16,935.0,Fatal,0,0,0,0,1,0,16.0
286,H069,70.0,115.754315,-31.769763,22/1/16,550.0,Medical,0,0,0,1,0,0,16.0
288,1030503,60.0,115.862003,-32.093774,22/1/16,1802.0,Medical,0,0,0,1,1,0,16.0
290,H035,60.0,115.821135,-31.825764,22/1/16,710.0,Medical,0,0,0,0,2,0,16.0
293,1103098,70.0,115.717163,-31.673335,23/1/16,1135.0,Medical,0,0,0,0,3,0,16.0
294,1120006,60.0,115.923589,-31.89477,23/1/16,1234.0,Medical,0,0,0,0,3,0,16.0
296,H001,50.0,117.511836,-34.295495,23/1/16,615.0,Hospital,0,0,0,0,1,0,16.0
297,30073,40.0,123.617307,-17.295871,23/1/16,35.0,Medical,0,0,0,0,1,0,16.0
298,1300282,40.0,115.86768,-31.942893,24/1/16,615.0,Medical,0,0,0,0,0,0,16.0
299,H028,60.0,115.907072,-31.887833,24/1/16,1850.0,Medical,0,0,0,0,5,0,16.0
300,1090564,60.0,115.895254,-31.855438,24/1/16,1230.0,Medical,0,0,0,0,2,0,16.0
301,H016,80.0,115.768183,-31.760178,24/1/16,1245.0,Medical,0,0,0,0,2,0,16.0
304,1093340,70.0,116.098907,-31.754639,24/1/16,1953.0,Fatal,0,0,0,1,0,0,16.0
305,H029,60.0,115.763206,-31.840501,24/1/16,1330.0,Hospital,0,0,0,0,2,0,16.0
306,H016,80.0,115.755272,-31.734169,24/1/16,530.0,Medical,0,0,0,0,1,0,16.0
307,1300282,40.0,115.867232,-31.942688,24/1/16,615.0,Hospital,1,0,0,0,1,0,16.0
309,H577,70.0,115.802194,-31.85634,25/1/16,1015.0,Medical,0,0,0,0,2,0,16.0
311,H005,60.0,115.93329,-31.937188,25/1/16,1050.0,Medical,0,0,0,0,2,0,16.0
312,H029,60.0,115.741309,-31.752704,25/1/16,1725.0,Medical,0,0,0,0,3,0,16.0
313,1240038,40.0,115.856495,-31.954689,25/1/16,1700.0,Medical,0,0,0,0,2,0,16.0
314,1092147,60.0,115.976114,-31.765647,25/1/16,1530.0,Medical,0,0,0,0,2,0,16.0
315,1070036,70.0,115.781884,-32.382628,25/1/16,1200.0,Medical,0,0,0,0,2,0,16.0
316,H035,60.0,115.826501,-31.85999,25/1/16,1100.0,Medical,0,0,0,0,2,0,16.0
317,1090698,60.0,115.878616,-31.861548,25/1/16,1130.0,Medical,0,0,0,0,3,0,16.0
318,H015,80.0,115.859688,-32.143784,25/1/16,1310.0,Medical,0,0,0,0,4,0,16.0
320,H005,60.0,119.335492,-31.230142,25/1/16,215.0,Hospital,0,0,0,0,1,0,16.0
324,H035,60.0,115.847328,-31.913778,26/1/16,2130.0,Medical,0,0,0,0,2,0,16.0
325,H069,70.0,115.792194,-31.775384,26/1/16,1535.0,Hospital,0,0,0,0,2,0,16.0
326,1090311,70.0,116.050545,-31.797204,26/1/16,1255.0,Medical,0,0,0,0,2,0,16.0
328,H023,70.0,115.975486,-32.147121,26/1/16,1745.0,Medical,0,0,0,0,1,0,16.0
329,1240100,60.0,115.845596,-31.95361,26/1/16,1415.0,Medical,1,0,0,0,1,0,16.0
330,H014,40.0,115.781367,-31.983119,26/1/16,1955.0,Medical,0,0,0,0,2,0,16.0
331,H016,80.0,115.833281,-31.929546,27/1/16,1630.0,Medical,0,0,0,0,2,0,16.0
332,1030011,60.0,115.846441,-32.160015,27/1/16,825.0,Medical,0,0,0,0,2,0,16.0
333,H035,60.0,115.803536,-31.752258,27/1/16,1625.0,Medical,0,0,0,0,5,0,16.0
334,1050183,70.0,115.839333,-32.251807,27/1/16,1130.0,Medical,0,0,0,0,3,0,16.0
335,1030498,60.0,115.7827,-32.102497,27/1/16,1400.0,Medical,0,0,0,0,2,0,16.0
336,H027,70.0,115.917773,-31.970555,27/1/16,1800.0,Medical,0,0,0,0,2,0,16.0
337,H028,60.0,115.889072,-31.887506,27/1/16,1310.0,Medical,0,0,0,0,2,0,16.0
339,H007,50.0,114.64421,-28.41834,27/1/16,624.0,Fatal,0,0,0,0,1,0,16.0
340,H016,80.0,115.849073,-31.950648,27/1/16,1320.0,Medical,0,0,0,0,3,0,16.0
342,3050005,50.0,117.355369,-34.960802,27/1/16,1010.0,Hospital,0,0,0,0,1,1,16.0
344,1250072,60.0,115.771866,-31.902288,27/1/16,1645.0,Medical,0,0,0,0,3,0,16.0
345,H015,80.0,115.855167,-31.994852,27/1/16,1650.0,Medical,0,0,0,0,3,0,16.0
346,1010038,70.0,115.987113,-32.124619,27/1/16,1550.0,Medical,0,0,0,0,1,0,16.0
348,H036,60.0,115.760775,-31.939831,28/1/16,655.0,Medical,0,0,0,0,2,0,16.0
349,1300289,40.0,115.849854,-31.936461,28/1/16,1720.0,Medical,0,0,0,0,2,0,16.0
